Comment,Mn,Zr,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Pb,Th,U,P,La,Ce,Pr,Nd,Sr,Y,Lu
ACAf_1,509,1.8,289.1,55.1,258.3,34.97,212.3,42,119,16.92,110.6,16.262,90.9,76.3,176600,615,1972,281.6,1359,319.6,1188,16.87
ACAf_2,364.7,1.52,120.1,26.23,101.7,11.7,67,12.29,30.39,3.75,22.36,8.195,58.7,25.52,174300,647,1489,165.2,703,253.9,339.6,3.39
ACAf_3,755,0.09,52.6,21.74,132.3,30.99,275.7,66.6,189.7,23.51,125.2,6.114,0.058,2.762,177600,12.84,56.2,11.73,89.6,65.3,2019,16.69
ACAf_4,334.8,0.53,32.4,7.75,30,3.65,21.4,4.39,13.33,1.73,11.44,10.085,1.93,3.14,176000,36.6,137.4,24.8,138,617,125.2,2.06
ACAf_5,382.7,1.57,260,45.9,230.6,31.3,190.2,38.2,109.6,15.44,100.3,14.351,99.4,39.5,171000,582,1871,267,1250,280.6,1095,15.18
ACAf_6,346.4,3.01,223.6,46.7,196.2,25.83,156.1,30.8,86.9,11.95,73.6,16.902,146.3,70.6,179100,680,1886,249.9,1176,429.2,834,11.49
ACAf_7,371.2,0.412,262.5,71.4,267.1,36.42,220,40.71,109.8,14.57,90.2,5.473,1.23,3.104,175900,170.4,785,149.5,930,370.6,1127,12.91
ACAf_8,459,1.9,267.9,18.89,430,71.5,473,96.9,255.1,31.83,179.2,8.306,4.17,29.34,174900,19.02,145.9,46.4,450,508,2639,22.85
ACAf_9,579,0.335,166,47.9,143.9,17.55,93.8,17.39,44,5.61,33.27,9.409,17.62,14.92,173100,390,1225,166.2,820,242.8,481,5.26
ACAf_10,427,0.597,298.5,28.5,300.3,41.2,257.8,52,144.1,19.43,122.2,11.383,29.8,51.9,179100,214,956,180.7,1090,260.4,1413,18.22
ACAf_11,319,1.5,296,47.1,237,31.5,188,34.6,96.8,12.05,76.9,17.56,73.7,32.2,165400,695,2110,302,1467,367,1004,11.51
ACAf_12,539,0.839,315.1,61.9,466.9,77.3,539,116.2,340.6,44.3,270.9,11.044,25.57,54.3,171400,71.8,288.4,66.8,548,298.3,3237,39.01
ACAf_13,560,1.51,264.9,47.8,243.6,32.4,196.8,39,108.8,15.05,97.9,10.561,54.6,24.9,175200,447,1482,224.5,1162,325.1,1145,14.37
ACAf_14,271,0.128,119.1,22.1,121.9,16.3,95.9,18.01,44.5,5.59,32.8,19.48,8.85,22.8,166800,40.8,244,55.6,343,183,482,5.04
ACAf_15,359.9,1.11,805,77,928,130.6,810,154.3,385.3,46.2,246.5,20.84,22.49,14.09,158200,277,1717,366,2466,103.5,4170,30.01
ACAf_16,478,0.65,302.5,31.84,255,33.46,204.4,39.3,112.6,15.93,100.3,12.178,36.5,28,178800,604,2171,314.7,1521,284.1,1145,15.07
