ACA,AGI,BAD,BUR,COR,DON,FRI,FUN,GAT,GUC,JER,MAR,PAL,PRO,RAN,SEV,TAP
49.2,146.2,143.4,36.2,45.5,56.0,70.5,55.8,140.3,42.7,171.3,144.9,134.9,172.3,145.8,39.7,148.6
101.2,157.2,149.8,48.9,48.0,76.5,77.7,167.6,191.6,43.9,173.4,154.6,150.7,177.7,157.5,46.1,163.6
144.0,158.2,152.1,54.8,50.7,143.7,79.2,174.1,802.2,44.3,178.4,172.7,154.0,210.6,160.6,57.4,171.2
147.0,158.8,157.2,55.0,50.9,159.4,126.5,176.1,825.2,49.0,180.6,184.7,160.8,275.0,164.5,62.9,171.6
150.8,167.4,159.2,57.1,51.2,160.7,241.3,180.7,872.8,50.1,183.6,187.7,172.1,359.9,164.9,73.0,173.7
155.6,168.3,165.8,57.1,52.1,162.6,252.0,182.3,887.2,53.1,185.1,188.4,175.5,456.8,167.0,76.7,185.2
155.8,169.6,169.2,57.3,56.1,162.7,,183.1,916.4,57.1,188.0,197.1,175.7,503.4,169.5,78.2,185.2
162.4,170.3,170.7,57.6,,165.1,,185.5,918.8,62.2,188.4,198.3,175.9,514.3,172.7,98.9,187.5
164.3,170.6,171.7,58.8,,168.9,,186.6,931.4,84.4,189.9,200.1,176.1,634.2,173.0,135.5,189.4
167.8,171.8,172.3,59.9,,169.9,,187.2,941.2,894.0,203.4,202.8,176.8,635.7,174.6,159.6,192.6
169.0,175.0,175.0,62.5,,170.0,,188.9,942.2,,203.8,209.7,177.4,830.5,175.4,161.2,194.7
170.9,179.7,175.7,108.0,,170.1,,189.0,953.2,,205.6,213.3,177.5,882.9,176.9,162.5,195.3
171.5,181.3,175.8,139.2,,171.4,,190.8,961.2,,215.5,218.3,178.2,892.2,180.1,164.2,196.2
172.0,183.1,177.6,160.1,,171.6,,194.2,973.3,,236.2,222.2,178.2,899.3,180.9,167.7,196.9
172.3,184.2,178.4,170.5,,174.0,,194.5,974.4,,241.0,232.3,179.3,925.4,181.2,168.9,202.2
173.6,187.4,179.8,175.0,,176.2,,195.3,976.6,,300.2,253.5,180.8,998.4,182.7,169.2,203.7
174.4,188.8,180.7,177.2,,176.4,,195.8,980.2,,311.1,321.5,181.1,1008.7,183.7,174.2,205.2
176.0,189.1,180.9,179.8,,177.8,,201.4,988.2,,313.8,323.8,181.6,1018.3,183.8,174.9,208.2
176.2,189.3,182.5,183.0,,179.1,,203.6,990.5,,315.6,995.7,181.7,,185.9,176.6,211.2
