ACA,AGI,BAD,BUR,COR,DON,FRI,FUN,GAT,GUC,JER,MAR,PAL,PRO,RAN,SEV,TAP
95.9,123.6,136.1,43.2,30.2,46.9,122.8,172.1,165.4,35.7,186.4,71.2,87.7,169.8,161.7,15.9,92.2
156.3,125.5,144.7,48.5,43.9,47.9,147.2,172.4,184.6,46.3,200.1,147.1,110.3,187.6,166.6,38.2,96.9
159.4,136.4,145.9,49.2,48.1,50.3,152.2,175.4,189.7,47.1,203.4,148.0,128.3,187.6,167.5,48.4,147.1
164.2,151.4,157.8,49.4,53.3,50.5,152.9,176.5,190.3,47.2,205.3,154.6,129.9,204.9,170.7,51.0,158.2
167.4,165.4,167.3,49.8,53.9,52.1,155.1,179.5,190.6,48.1,261.4,167.4,156.8,206.4,172.4,51.0,167.5
169.7,175.3,172.7,50.1,59.7,52.2,161.8,179.5,191.8,49.3,616.5,178.2,157.8,,173.3,51.1,178.6
173.7,176.0,173.5,50.5,61.9,53.1,163.0,180.1,192.6,50.3,927.2,178.5,160.4,,173.6,52.0,179.0
174.0,176.1,173.8,51.2,66.4,53.4,163.4,181.4,193.2,50.8,984.3,178.9,162.1,,176.1,52.1,180.4
177.9,176.1,173.9,51.4,98.9,54.5,164.8,183.0,194.1,51.8,1000.6,179.2,168.7,,176.2,52.9,180.6
178.6,176.2,175.2,51.5,121.3,55.9,166.6,183.7,194.9,52.8,1020.9,179.8,171.4,,176.6,53.1,181.1
178.7,177.3,175.6,51.9,141.7,55.9,169.1,184.9,195.1,53.0,1091.8,180.5,174.2,,176.9,54.2,181.6
179.5,177.3,176.0,52.0,152.4,56.3,172.1,185.2,196.3,53.4,,180.8,176.1,,179.5,54.6,181.8
181.9,177.6,178.5,52.1,160.3,105.9,172.3,185.2,199.8,53.7,,183.2,176.2,,179.6,55.8,182.8
182.5,177.9,180.5,52.3,163.6,165.2,172.4,185.4,205.2,53.8,,183.3,176.5,,180.8,68.3,183.1
184.2,179.0,180.7,52.5,164.5,173.7,172.8,185.6,205.8,54.0,,183.3,178.1,,181.5,73.6,183.5
184.7,179.3,180.8,52.6,167.9,179.7,177.6,185.8,210.9,54.8,,183.4,182.5,,182.1,105.0,183.6
186.1,179.8,182.1,52.7,170.5,181.2,178.8,185.8,220.4,55.0,,183.5,182.9,,182.7,141.1,183.9
186.1,180.1,182.2,52.7,190.9,182.7,180.2,186.1,222.7,55.7,,184.0,183.1,,183.8,146.1,184.8
186.8,180.6,182.6,52.7,192.3,190.0,181.8,186.2,952.0,55.9,,184.2,183.3,,184.2,147.0,184.8
186.8,180.7,182.7,52.9,206.3,192.5,182.7,186.9,,56.2,,184.7,183.7,,184.3,153.6,184.9
187.7,180.7,183.5,53.0,213.6,193.9,183.9,186.9,,56.3,,184.8,183.7,,184.8,157.3,184.9
188.4,181.0,183.7,53.3,222.3,194.9,184.8,187.0,,56.5,,185.0,184.3,,185.0,157.5,185.3
