ACA,AGI,BAD,BUR,COR,DON,FRI,FUN,GAT,GUC,JER,MAR,PAL,PRO,RAN,SEV,TAP
174.2,164.6,69.6,47.9,54.2,158.5,166.8,175.9,173.8,47.0,170.6,148.6,164.0,169.5,56.0,54.3,150.7
174.6,168.0,127.9,48.2,570.4,161.9,174.3,176.5,180.1,76.3,177.2,156.0,169.6,173.6,72.2,161.2,163.9
175.3,170.3,130.6,48.4,975.5,174.2,179.0,176.9,184.9,79.1,180.0,157.6,171.0,176.4,104.9,172.8,166.3
175.7,171.6,161.0,49.7,1907.8,179.1,183.5,177.2,188.4,212.2,180.1,160.5,171.1,179.4,119.0,174.5,170.1
177.6,172.0,162.6,49.8,,179.2,188.9,180.5,193.0,239.2,183.5,162.1,171.8,180.0,134.0,178.5,171.2
178.2,173.0,163.6,50.0,,179.9,189.1,181.6,195.2,252.3,184.0,162.8,172.4,180.1,150.7,180.4,171.6
180.3,173.4,164.3,50.3,,179.9,192.4,182.3,207.9,263.8,191.9,163.9,172.6,181.5,152.1,180.8,172.4
180.8,173.9,166.4,50.3,,180.6,219.3,189.3,650.5,266.4,193.7,164.6,173.3,181.7,152.6,180.8,173.9
181.6,174.9,167.2,50.4,,180.6,229.6,189.7,976.1,268.3,196.4,165.0,173.6,182.9,157.5,181.6,175.1
182.4,175.0,167.4,50.8,,180.9,230.3,192.0,987.8,274.4,263.4,165.1,174.0,184.3,159.3,182.9,175.8
183.9,175.1,167.6,52.4,,183.8,239.5,200.5,990.6,275.4,354.7,165.6,175.7,187.5,162.1,185.9,176.0
184.2,175.1,169.1,52.8,,183.9,245.2,215.1,992.1,277.1,431.4,169.0,177.0,204.7,162.3,187.2,177.9
184.3,176.5,169.6,52.8,,184.0,247.6,276.6,992.6,284.4,455.7,169.0,177.2,992.6,162.7,187.4,178.1
185.3,178.7,171.0,53.5,,184.0,249.0,806.7,1001.7,289.4,467.7,169.9,177.8,1008.8,166.2,188.2,178.2
185.6,180.0,171.7,88.7,,184.5,252.1,857.7,1011.3,944.6,468.8,171.2,177.9,1018.6,166.3,188.4,179.9
186.9,180.3,172.4,179.8,,185.0,252.6,902.5,1015.2,990.7,538.4,172.4,178.7,1265.6,167.3,189.3,180.0
187.3,180.4,172.9,180.2,,185.2,252.8,906.6,1028.0,,578.0,172.6,178.9,1319.5,167.5,192.2,182.3
