,Ba,Cr,Ga,Nb,Ni,Pb,Rb,Sr,Th,V,Y,Zn,Zr
ACA,1163,5.919,12.5,3.671,2.779,7.901,69.67,315.4,1.421,17.97,8.124,17.05,7.951
AGI,1137,2.757,10.1,4.125,1.195,9.4,104.1,211.6,1.848,13.9,6.378,10.25,13.23
BAD,829.6,3.328,11.9,6.162,2.27,7.665,101.2,193.9,4.368,15.85,6.309,14.62,25.12
BUR,1074,42.36,16.4,5.357,13.65,7.198,35.59,534.2,3.653,101.7,15.12,48.67,6.57
COR,736.5,39.63,14.4,3.024,12.57,8.417,23.62,476.6,3.821,87.27,14.67,36.58,4.918
DON,1152,24.47,17.2,4.789,11.63,6.878,54.85,427.8,1.203,63.46,11.04,41.9,4.037
FRI,525,62.51,21.3,9.823,25.58,7.181,21.77,475.5,2.235,156.5,21.62,67.62,14.38
FUN,1171,6.226,10.7,2.213,2.186,7.947,62.94,259.6,1.149,15.7,5.306,12.24,4.328
GAT,821.2,25.88,15.6,7.13,11.03,9.901,71.67,274,3.753,61.83,13.33,39.13,26.9
GUC,955.4,21.75,13,3.924,8.312,9.483,42.99,406.5,3.586,77.77,9.084,33.79,3.747
JER,771.9,25.2,15.6,6.536,11.17,11.27,91.04,182.3,3.639,42.85,15.97,43.27,14.68
MAR,946.8,7.713,14.3,9.348,3.664,10.23,137.1,196.3,5.84,40.43,12.82,28.41,79.53
PAL,1277,8.527,15.5,5.286,4.118,7.775,65.41,371.9,1.43,29.5,7.743,31.16,4.176
PRO,955.4,24.31,16.6,9.488,8.837,17.6,95.17,402.7,6.27,86.22,19.08,50.49,69.73
RAN,700.5,2.886,16,4.714,2.192,7.1,83.97,171.3,2.642,12.91,3.584,10.37,13.28
SEV,901.3,33.97,15.7,3.777,18.6,5.555,38.29,445,1.818,87.42,13.32,46.16,5.515
TAP,758.7,16.99,14,3.798,8.546,6.427,68.84,328.6,2.41,36.92,7.928,17.26,28.18
