,Ba,Cr,Nb,Ni,Pb,Rb,Sr,Th,V,Y,Zn,Zr
ACA,1184,21.53,4.815,14.88,10.03,73.08,287.6,2.783,27.87,14.37,27.09,12.53
AGI,1385,50.13,6.727,61.29,12.77,125.4,261.6,3.458,21.15,8.894,18.84,19.39
BAD,968.2,53.15,12.26,71.99,10.57,121.7,232.1,9.602,23.16,10.2,25.55,52.6
FUN,1484,62.98,4.41,75.93,11.15,83.34,169.4,2.327,24.77,9.847,21.75,8.431
GAT,910.7,81.75,8.485,83.44,12.44,82.84,299.9,5.216,74.6,18.44,60.05,45.9
JER,707.4,102.1,12.69,49.84,19.84,110.4,202.5,7.408,121.2,49.68,150.7,21.55
MAR,991.7,43.06,13.78,46.01,14.11,150,224.2,8.261,59.1,17.93,43.27,116.9
PRO,1006,58.65,10.86,58.83,21.61,103.4,85.82,7.371,88.41,21.1,70.45,87.06
TAP,566,109.5,7.134,41.63,9.809,44.17,296.8,2.936,116.1,21.23,56.56,77.13
DON,1118,70.07,8.634,65.98,7.983,60.55,529.1,2.711,90.17,19.31,61.89,6.804
PAL,1449,49.45,8.105,58.89,9.082,76.58,494.9,1.939,38.63,13.08,41.65,6.101
RAN,1066,10.16,12.5,6.83,10.41,133.2,268.3,5.982,24.28,7.247,26.02,31.33
SEV,824.5,75.87,5.524,70.34,6.838,34.22,520.3,1.584,92.67,18.22,47.25,7.024
COR,885,91.52,5.324,76.13,10.51,32.83,566.3,4.929,110.1,17.24,53.24,6.848
FRI,668.9,104.8,8.64,62.05,7.425,24.55,527.4,2.391,137.3,28.4,71.1,13.33
BUR,757.5,65.76,6.934,29.99,9.68,30.5,618.6,2.641,120,22,72.94,8.438
GUC,1056,74.6,9.759,34.89,15.81,61.33,650.5,7.897,129.4,20.86,82.03,5.877
