Comments,Al,Sr,Fe,Y,Zr,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Pb,Th,U
ACA_tif_4398,6060,76.1,6640,192.8,792,304,224.6,502,43.8,131.5,21.9,15.88,20.8,3.84,26.9,6.21,20.6,3.39,27.3,3.77,28.4,59.8,41.1,18.44,23.04
ACA_tif_5062,8440,34.2,8160,3540,269.5,1337,309,1875,384,2465,784,172.1,692,111.2,691,132.4,355,54.6,353.2,42.6,15.52,21.3,6.107,30.52,17.58
ACA_tif_5100,9090,12.92,5060,393,102.9,326,132.9,447,65.2,291.1,63,64.5,47.9,8.39,56.9,12.33,38.8,7.39,54.9,8.53,5.28,45.8,11.63,3.21,13.23
ACA_tif_5121,5060,3.601,4570,1545,71.4,1156,215.2,818,120.7,594,178.7,120.6,189.7,33.5,239.6,50.6,152.4,21.31,138.8,17.97,3.22,13.6,3.079,3.3,5.37
ACA_tif_5148,6660,17.9,3480,2143,34.1,737,168.8,1002,214.6,1321,430,117.1,404,65,421.1,78.8,228.7,32.7,202.2,25.47,6.99,54.6,6.588,18.47,18.35
ACA_tif_5240,11170,13.38,6590,88.4,64.5,767,0.328,2.26,0.348,3.32,4.21,0.97,8.7,2.13,15.5,3.42,10.47,1.55,9.4,1.15,2.52,247,3.65,0.0072,0.79
ACA_tif_5241,8570,12.81,6908,268,56.8,201.6,9.66,56.9,13.52,83.4,35.3,14.1,36.9,6.45,43.1,8.77,25.6,4.08,30.5,4.81,5.53,24.8,6.281,1.096,17.43
ACA_tif_5308,15770,2.78,9040,306,1395,1540,24,160.3,36.1,206,55.4,14.01,49.1,7.85,55.8,11.49,33.5,4.86,29.7,3.2,37.9,61.1,5.022,11.19,19.5
ACA_tif_5313,8640,21.09,7100,113.8,76.2,305,1.02,6.57,1.68,10.4,6.94,6.55,9.03,2.01,15.8,3.88,14,2.46,21.4,3.43,5.67,8.9,2.73,0.0239,1.025
ACA_tif_5387,6870,31.94,6590,484,401,1427,475,1409,165.9,610,105.8,141.9,77.8,11.2,75.9,15.3,49.2,9.26,76.9,12.4,21.08,280,33.85,26.37,180.1
