Comments,Ti,Zr,Lu,Hf,Hg,Pb,Th,U
ACA_zrvf_14204,200,34400000,160500,6920000,33,350437.2,642000,2133100
ACA_zrvf_14251,80,43100000,133800,7080000,80,12211,159000,313100
ACA_zrvf_14278,360,36400000,159900,6360000,67,4559,191000,168240
ACA_zrvf_14306,370,35400000,296000,6570000,40,192761,221000,1191690
ACA_zrvf_14307,340,44300000,195000,9080000,90,169862,193000,985500
ACA_zrvf_14348,459,45800000,86600,8160000,54,3450.3,86000,125836
ACA_zrvf_14351,426,38500000,56400,5960000,75,31706.5,27500,185894
ACA_zrvf_14375,164,38300000,127800,7180000,65,91281.5,121000,524750
ACA_zrvf_14391,360,32100000,128800,5480000,100,78223,110700,417040
ACA_zrvf_14437,96,44500000,64100,8940000,58,1381.6,19700,52572
ACA_zrvf_14507,117,39200000,114800,6590000,89,4169.6,71700,159367
ACA_zrvf_14514,116,41700000,141000,7560000,54,4826.6,103000,168220
ACA_zrvf_14551,86,45000000,108400,8210000,88,2708,45000,107887
ACA_zrvf_14593,300,36800000,110200,6410000,88,254245,549000,2549510
ACA_zrvf_14624,523,43000000,74700,6740000,73,1407.2,43000,52262
ACA_zrvf_14676,446,41800000,74400,6480000,81,1603.9,46300,56515
ACA_zrvf_14702,42,40100000,251000,7360000,48,8901.5,143000,346520
ACA_zrvf_14738,141,47300000,87600,9030000,33,2433,32300,96684
ACA_zrvf_14761,46,44500000,443000,8440000,40,29607,758000,1233030
ACA_zrvf_14819,200,34100000,103600,5810000,75,63074.3,101400,342375
ACA_zrvf_14848,298,40500000,172000,6390000,65,77994.9,137000,385730
ACA_zrvf_14884,39,43900000,170000,7190000,57,3650.9,83000,155070
ACA_zrvf_14931,60,41500000,130100,7830000,62,4347.7,82400,173210
ACA_zrvf_14939,232,40100000,79900,6730000,73,1957.5,40100,68797
ACA_zrvf_14940,207,47100000,120300,8370000,59,4074,64600,163469
ACA_zrvf_14979,391,40900000,186000,6370000,62,71149,128100,371790
ACA_zrvf_15054,46,45000000,84300,8890000,67,1965,30800,76459
ACA_zrvf_15055,2400,30500000,391000,5030000,83,362932,315000,4087600
ACA_zrvf_15127,187,33200000,115400,7040000,71,135433.2,153000,715150
ACA_zrvf_15154,160,49600000,158000,9010000,90,3925,110000,158200
ACA_zrvf_15194,100,35500000,294200,6960000,91,15235.4,278000,613430
ACA_zrvf_15197,1800,30000000,61500,5580000,91,49728,32700,254769
ACA_zrvf_15297,443,40200000,141600,6910000,80,243047,549000,1703960
ACA_zrvf_15298,42,40700000,304000,7760000,55,7902,89000,310140
ACA_zrvf_15325,200,42200000,130400,7650000,58,104773,174500,568080
ACA_zrvf_15378,206,44900000,139200,11630000,72,345646.3,329000,4892800
ACA_zrvf_15396,4900,46400000,100900,7700000,63,2846.9,85400,107169
ACA_zrvf_15411,76,37700000,195000,6410000,59,5513.3,139000,218540
ACA_zrvf_15418,305,48900000,108300,8010000,56,3955,72200,154090
ACA_zrvf_15451,280,35400000,112200,6500000,50,90818,81500,395070
ACA_zrvf_15484,276,40600000,196400,7890000,76,187277.4,405000,1066760
ACA_zrvf_15724,630,36300000,245000,6150000,92,8037,349000,335420
ACA_zrvf_15789,115,40300000,112700,7220000,70,3347.8,53300,126910
ACA_zrvf_15820,200,37300000,277600,6970000,100,143291,337000,845240
ACA_zrvf_15823,169,34300000,93300,10090000,25,201118.2,151800,1174670
ACA_zrvf_15825,410,51700000,161000,9510000,72,72238.5,91000,448290
ACA_zrvf_15828,170,31800000,113200,5700000,20,226143.2,498000,1371950
ACA_zrvf_15863,73,41700000,147200,7970000,54,10353.3,96300,406780
ACA_zrvf_15984,23,39100000,228000,8010000,55,10998.4,93500,440220
ACA_zrvf_16052,108,43000000,78000,6910000,47,1923.9,27200,72018
ACA_zrvf_16065,354,38800000,187900,7590000,79,205155,155600,1150110
ACA_zrvf_16084,280,36000000,97900,7280000,85,139152,209000,891610
ACA_zrvf_16147,240,47100000,320000,7560000,22,3640.2,95000,141850
ACA_zrvf_16173,310,36200000,135300,8250000,67,186832,856000,1650460
ACA_zrvf_16228,492,46100000,153200,7160000,92,3645,139800,140669
ACA_zrvf_16244,11.5,37400000,792000,8680000,70,73842.5,1590000,2971200
ACA_zrvf_16288,188,43400000,73700,7430000,50,2277,58900,86018
ACA_zrvf_16297,117,43100000,292000,6290000,40,7973.6,263000,320328
ACA_zrvf_16300,580,44000000,8780,9020000,87,46571.8,200600,301170
ACA_zrvf_14579,34,40000000,306000,7230000,64,19330.5,301500,748290
ACA_zrvf_14646,130,31600000,184200,5740000,89,104632.2,161700,479440
ACA_zrvf_14947,145,42900000,63100,7000000,60,95782.1,175800,625450
ACA_zrvf_15886,730,45000000,447000,11680000,47,397886,475000,5769500
ACA_zrvf_15980,400,26690000,249300,4860000,55,155320,914000,2657820
BAD_zrvf_6074,58,32400000,101100,5330000,83,5285.4,103200,202630
BAD_zrvf_6160,290,40300000,276000,5330000,260,6041.1,280000,244720
BAD_zrvf_6234,15,35800000,137900,5900000,89,7028.9,156400,277049
BAD_zrvf_6247,47,35400000,201000,6330000,61,8638.2,321000,344470
BAD_zrvf_6282,200,30500000,89700,5350000,50,3369,97400,119714
BAD_zrvf_6295,500,40400000,426000,7490000,54,42270,1417000,1880150
BAD_zrvf_6311,270,46100000,289000,6670000,54,8595,194700,367310
BAD_zrvf_6316,48,34800000,243000,6170000,81,10623.1,458000,440150
BAD_zrvf_6328,11000,37300000,274400,6590000,83,12170,563000,495420
BAD_zrvf_6354,17,31300000,134000,5340000,100,3398,87000,131950
BAD_zrvf_6369,111,36300000,119700,5210000,59,9244,337000,377690
BAD_zrvf_6376,48,37600000,215000,6530000,65,9135.9,275000,371650
BAD_zrvf_6378,396,35200000,193800,5020000,64,5302.7,328000,209489
BAD_zrvf_6486,72,36300000,214600,6980000,87,9436.7,242000,375730
BAD_zrvf_6542,33,35000000,138000,5900000,57,9158.8,146000,368710
BAD_zrvf_6564,330,36900000,87400,8760000,39,9182,185900,359580
BAD_zrvf_6688,100,25360000,181900,4220000,35,6010,246100,201660
BAD_zrvf_6727,183,36600000,191000,5860000,60,5318.9,224000,208464
BAD_zrvf_6770,19,28300000,131700,5050000,38,4930,246000,185165
BAD_zrvf_6778,55,38800000,348000,5520000,67,9848.3,453000,401870
BAD_zrvf_6798,153,40400000,345000,6290000,68,14226.5,733000,599260
BAD_zrvf_6817,56,39000000,419000,7680000,54,20020.7,879000,818860
BAD_zrvf_6829,67,36400000,135500,6240000,43,7168.2,163000,300480
BAD_zrvf_6844,3900,30700000,213600,6060000,66,21316,1060000,874160
BAD_zrvf_6858,77,32900000,155000,5820000,93,12499,221000,437140
BAD_zrvf_6937,200,44200000,195100,7510000,129,10136,254000,454240
BAD_zrvf_6941,340,42000000,422000,4930000,78,10629,735000,422930
BAD_zrvf_6947,38,30300000,165000,5350000,78,7248,244000,288060
BAD_zrvf_6949,79,35600000,169000,6420000,85,9219.4,305000,354460
BAD_zrvf_6960,92,44200000,103400,11350000,62,25012,169000,1057560
BAD_zrvf_7025,61,37300000,241000,6090000,67,10138.6,332000,409870
BAD_zrvf_7041,260,38200000,282000,6690000,77,10310,429000,402870
BAD_zrvf_7053,50,46200000,356000,7170000,106,7304,355000,287990
BAD_zrvf_7054,129,35300000,143000,5250000,44,6296.6,162000,243820
BAD_zrvf_7093,104,32900000,279000,5300000,62,8472.6,375000,347380
BAD_zrvf_7113,132,36100000,316000,5290000,57,8365,456000,346520
BAD_zrvf_7188,272,36500000,359000,5630000,58,12101.2,820000,508580
BAD_zrvf_7206,84,37700000,172300,6120000,67,25228.8,732000,1029480
BAD_zrvf_7220,1110,30900000,277000,4770000,131,36159,823000,1498910
BAD_zrvf_7227,53,30100000,227000,6660000,72,11858,262000,460190
BAD_zrvf_7244,217,38400000,324000,5950000,125,12098.3,675000,502480
BAD_zrvf_7247,660,37900000,532000,10530000,190,146315,1700000,8568300
BAD_zrvf_7255,1460,26000000,223000,4450000,68,7864,437000,310249
BAD_zrvf_7355,103,30200000,117300,5040000,66,8897.1,450000,380750
BAD_zrvf_7358,153,34400000,175700,4970000,61,7639.5,224000,287096
BAD_zrvf_7421,129,32800000,204300,5280000,43,7095,398000,297130
BAD_zrvf_7453,380,37600000,84900,6130000,61,3204.9,86000,124990
BAD_zrvf_7501,67,33200000,126900,5880000,65,5899,144700,256707
BAD_zrvf_7510,2610,29690000,288000,4740000,216,15310.8,1340000,655590
BAD_zrvf_7512,98,36800000,252000,5950000,66,6394.6,262000,270870
BAD_zrvf_7513,189,37600000,111500,5840000,29,4661,83100,176217
BAD_zrvf_7517,89,39200000,218000,6180000,40,10659,254000,483470
BAD_zrvf_7519,19,29500000,122600,5360000,65,6565,194000,227620
BAD_zrvf_7534,259,38100000,88000,7110000,59,2933,118000,120082
BAD_zrvf_7570,117,37000000,194400,5550000,74,8068.6,303000,318380
BAD_zrvf_7574,69,34600000,102400,5920000,96,8774.7,223000,344500
BAD_zrvf_7598,152,36300000,242000,5350000,52,23936.6,817000,1004820
BAD_zrvf_7600,111,29840000,255000,4480000,38,6733,152100,254740
BAD_zrvf_7613,1400,26800000,395000,9080000,136,240472,109000000,21141000
BAD_zrvf_7618,94,40100000,145100,6470000,65,5739.1,142700,239788
BAD_zrvf_7619,283,37500000,123300,7290000,69,7352.9,210000,288100
BAD_zrvf_7630,57,40000000,136000,6580000,61,11414.1,298000,432230
BAD_zrvf_7644,1700,43900000,349000,7790000,50,13897,573000,570080
BAD_zrvf_7645,141,33600000,275000,5810000,294,13585,448000,560960
BAD_zrvf_7672,310,36000000,220000,6030000,107,20454,1040000,856290
BAD_zrvf_7690,540,44600000,692000,14420000,213,167793,17100000,9979400
BAD_zrvf_7699,264,30200000,245800,4740000,68,28671,1640000,1177490
BAD_zrvf_7707,111,29900000,168600,5480000,44,5095,200000,188820
BAD_zrvf_7730,135,32700000,222000,4260000,39,12225.9,464000,495530
BAD_zrvf_7794,121,28910000,122200,5410000,70,6925,253000,271010
BAD_zrvf_7827,47,32500000,267000,5290000,58,7205,290000,287100
BAD_zrvf_7842,0,37400000,180000,7100000,77,10165.5,318000,414050
BAD_zrvf_7858,26800,42000000,108800,9280000,74,16081,97800,560990
BAD_zrvf_7861,183,40500000,362000,5540000,57,9666.5,508000,391930
BAD_zrvf_7932,52,30480000,203000,5570000,71,9426,267000,348510
BAD_zrvf_7946,130,36600000,157700,6320000,46,3329.6,140600,134591
BAD_zrvf_7989,67,35400000,270000,6890000,50,41670,518000,1712000
BAD_zrvf_8047,206,39200000,443000,7550000,26,70821.6,1067000,2819400
BAD_zrvf_6791,470,25210000,346000,3510000,131,34180,1993000,1238030
BAD_zrvf_6863,120,38200000,535000,5740000,64,24343,1058000,1012030
BAD_zrvf_7064,138,29300000,262000,6080000,40,60410,1215000,2185130
BAD_zrvf_7495,145,34000000,381000,5020000,53,13106.7,681000,562100
BAD_zrvf_7567,336,38400000,288000,5800000,51,8208.4,414000,320370
BAD_zrvf_7810,80,35600000,109400,6080000,59,3995.9,118100,164180
BUR_zrvf_4128,200,37100000,118300,7600000,50,261114,487000,1507100
BUR_zrvf_4167,600,39700000,42600,5930000,51,5733.9,24700,42462
BUR_zrvf_4227,51,41000000,223000,7050000,60,5445.8,406000,807870
BUR_zrvf_4251,224,33700000,83500,6980000,88,92661,63400,565060
BUR_zrvf_4258,53,42800000,86000,7330000,83,2190.1,133400,303280
BUR_zrvf_4368,143,32200000,206000,8220000,43,167614,322000,1161320
BUR_zrvf_4441,121,42700000,86100,7190000,54,7346.2,52200,182535
BUR_zrvf_4595,100,30300000,62000,6130000,46,15631,10340,634380
BUR_zrvf_4731,50,39200000,121200,7100000,88,2984.5,146000,438060
BUR_zrvf_4868,30,36700000,108900,8360000,43,8031.9,2000,238700
BUR_zrvf_4885,61,39000000,198000,6930000,59,5745.3,610000,805880
BUR_zrvf_4945,25,48300000,98000,8820000,94,2674.5,126100,385920
BUR_zrvf_4994,138,47100000,289000,20600000,29,172335,111000,7190300
BUR_zrvf_5002,111,37100000,104800,5950000,69,1693.9,126800,221613
BUR_zrvf_5137,25,31200000,76600,4790000,81,18162,31800,117168
