N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,T8,T13
5.05,16.45,6.05,15.5,13.2,6.25,7.85,19.4,28.5,28.3,4.55,2.6,10.1,12.21,2.7,3.19
4.8,13.65,10.75,25,19.3,26.65,12.3,16.45,24.8,11.95,7.5,13.4,11.55,14.78,9.84,11.93
7.55,6.9,15.5,18.15,23.15,13.1,31.65,14.3,9.5,16.65,10.9,7.15,16.05,12.95,8.38,20.46
9.4,7.65,13.9,9.35,23.9,3.55,18.65,13.95,8.55,17.25,12.2,4.35,11.1,11.48,20.2,6.38
16.9,4.5,11.25,25.55,5.8,20.9,18.9,18.95,7,17.75,1.85,14.2,7.6,14.34,9.5,25.51
13.55,8.45,11.2,15.85,12.85,7.55,13.65,12.6,12.8,16.45,12.35,19.05,8.8,2.64,9.22,24.64
6.55,4.35,15.55,18.5,15.4,24.35,6.1,2.65,29.5,21.95,7.5,15.9,13.35,11.21,20.44,6.75
8.65,9.1,13.8,13.05,11.9,12.75,48.7,5.8,7,11.4,8.95,8.1,5,6.64,5.79,11.73
6.9,8.85,19.45,12.5,13.15,12,3.3,7.05,29.45,17.25,8.85,15.5,2.45,18.4,10.15,6.32
7.55,9.05,16.6,19.8,11.1,10.75,17.7,33.2,20.8,28.25,7.25,11.7,5.4,14.26,2.35,5.59
2.4,9.4,10.7,23.95,9.95,6.85,17.9,10.8,10.85,29.85,7.7,9.5,9.65,11.39,3.23,7.79
8.25,8.55,23.85,36.5,32.2,18.25,17.5,6.05,13.75,12.1,5.1,9.25,8.95,10.81,6.54,11.58
8.65,8.2,8.4,30.5,11.2,25.85,9.3,10.3,24.55,15.95,13.6,10.4,7,11.53,10.7,6.04
8.25,6.85,11.3,12.15,11,19.35,15.85,9.45,17.7,13.6,22.35,8.95,7.6,10.18,10.32,9.29
5.35,15.2,21.5,17.9,25.55,9.65,20.1,6.4,2.85,18.15,7.55,10.05,11.2,13.95,19.4,8.63
8.2,5.15,6.25,9.05,11.35,15.85,10.25,6.2,7.3,22.95,11.7,2.55,11.6,11.53,9.3,10.05
4.3,4.8,7.75,25.15,20.95,18.5,19.5,17.35,23,14.95,7.05,7.2,7.45,11.39,9.91,6
10,5.1,37.6,21.15,26.8,16.25,30.25,4.55,14.95,9.5,4.65,9.2,12.8,11.7,10.01,8.44
8.05,8.4,14.65,13.35,16.1,10.65,13.85,5.6,24,24.8,4.35,19.75,5.9,11.92,9.3,25.72
6,5,16.65,16.6,21.85,25.55,15.95,9.15,20.25,28.4,8.55,3.25,4.85,6.99,5.47,25.22
15.2,4.45,15.05,19.6,13.5,9.85,25.1,3,8.4,9.2,9.75,13.3,6.3,7.28,3.07,12.67
8.5,10.85,13.85,15.45,13.4,19.05,10,21.6,13.35,8.1,6.5,3.05,13.55,15.24,8.74,5.95
4.4,8.85,11.3,15.75,35.5,11.15,16.2,13.5,42.6,20.4,3.9,10.85,2.4,11.94,5.85,12.27
4.35,5.35,15.6,22.55,16.05,17.85,22.35,23.35,18.2,9.45,5,8.8,12.6,10.33,4.8,6.59
1.85,11.1,17.5,24,13.45,27.05,18.15,2.25,23.35,11.45,10.6,9.5,9.05,11.72,10.07,11.02
6.7,5.5,26.3,21.05,3.15,15.7,13.5,11.65,29.6,16.3,4.05,11.65,10.5,11.81,25.39,6.04
8.8,8.8,13.55,32.25,31.65,17.15,8.9,5.8,14.7,16.2,7.4,14.1,6,16.31,8.39,5.95
6.3,9,19.1,17.45,24.2,5.05,15.55,5.25,8.9,12.9,13.35,12.8,9.1,12.65,3.89,22.68
3.85,8.45,29.25,17.4,25.35,19.15,26.9,17.7,28.8,24.2,9.15,7.65,10.45,11.69,11.76,11.19
3.75,4.55,6.25,23.3,14.2,23.3,16.25,9.7,30.6,3.8,7.1,10.75,7.4,14.38,8.97,23.76
8.55,7.6,12.55,28.85,5.6,16.25,11.5,14.6,21,15,8.1,6,8.45,8.88,10.76,6.42
7.4,2.4,31.55,17.5,6.45,23.35,9.85,3.4,16.95,18.8,6.1,6.3,10.55,17.88,10.64,6.91
6.7,9.3,49.6,27.4,18.5,18.35,10.8,16.8,14.7,15.75,5.1,12.35,8.65,5.89,5.99,6.38
7.45,5.65,27.25,32.45,16.25,16.95,18.2,10.7,8.8,20.4,6.75,13.75,11.85,7.2,17.13,20.35
8.15,5.5,24.5,28.7,18.45,28.15,28.1,17.15,13.55,4,4.6,10.25,8.5,16.13,10.65,11.45
9.65,9.15,12.25,25.2,9.2,6.7,25.7,24.2,5.85,11.15,5.05,6.95,9,7.9,3.55,12.79
7.1,4.9,12.6,17.15,18.95,16.3,9.05,17.25,10.5,32,8.15,3.2,5.2,8.5,5.2,11.57
7.15,5.45,20.3,10.75,19.75,12.15,24.65,13.5,14.35,14.1,8.4,2.4,8.8,16.18,10.55,9.64
4.6,15.8,17.95,23.6,17.6,20.65,37.2,10.75,20.65,6.95,9.05,8.3,12.7,12.46,3.45,6
1.9,10.9,18.85,33.25,20.7,10.15,15.4,29.2,4.3,15.2,21.75,18.8,10.4,10.86,10.73,25.4
4.95,10.3,13,12.65,37.9,19.85,13.45,19.9,9.35,25.6,8.65,14.8,14.7,11.01,10.28,11.03
7.2,6.2,14.9,10.75,23.9,14.3,10.35,27.6,14.4,36.65,10.4,10.2,7.55,9.56,10.2,17.51
7.4,16.75,4,18.5,24.8,14.5,28.3,5.4,19.15,18.55,6.8,6.8,11.45,21.05,6.03,8.26
4.45,10.1,22.8,9.75,20.3,26.55,14.95,10.95,17.7,33.65,5.5,10,8.4,7.09,21.04,11.36
4.95,10.4,21.8,20.2,17.35,11.6,10.2,9.55,14.85,10.95,8.6,10.15,14.45,16.27,3.04,7.46
10.7,5.05,22.65,14.25,30.1,24.2,17.1,8.1,16.85,8.65,10.55,13,9.4,10.46,19.46,11.59
4.3,10.5,19.25,18.45,23.65,5.85,19.95,17.8,15.65,15,9.8,3.05,10.6,16.35,10.64,7.57
5.6,9.9,24.15,13.7,15.85,20.25,25.2,14.85,16.3,15.35,12.15,11.95,10.05,19.88,10.42,6.07
4.25,9.1,9.55,12.35,35.1,19.4,12.05,10,9.2,12.35,5.9,8.7,10.8,6.75,21.2,23.04
6.5,10.35,19.85,9,16.1,7.2,15.65,10.2,18.2,22.5,6.8,8.7,17.1,17.39,10.71,11.12
6.65,6.55,15.95,6.45,22.7,16.9,15.5,7.7,8.3,15.65,10.25,10.3,6.7,11.63,6.17,6.14
4.35,6.3,31.7,17.3,10.1,12.5,10.5,19.8,15.1,13.25,9.45,6.5,10.75,11.85,6.81,26.3
5.15,6.05,11.85,20.4,53,11.2,22.5,7.5,17.2,34,5,8.9,6.35,10.23,9.19,25.5
4.45,11.15,29.8,23.65,17.9,27.7,7.95,10.75,11.5,12.8,8.75,6.9,9.8,12.04,5.78,11.88
4.2,10,24.15,18.1,17.45,15.75,17.5,14.75,7.3,8.55,5.7,3.6,8.6,11.04,19.97,23.21
0.95,9.65,14.95,16.8,15.65,14,11.1,27.9,12.7,7.9,9.95,6.05,11.5,7.18,10.76,6.56
4.2,7.55,11.5,9.1,21.6,14.75,18.25,18.85,34.95,20.75,17.55,11.2,5.2,10.53,7.3,32.53
27.05,11.1,12.25,23.4,19.15,7.4,17.9,6.8,20.45,14.25,19.2,11.05,12.95,15.45,6.12,11.44
3.7,11.2,3.1,21.3,7.5,39.1,12.15,14.1,4.25,3.15,11.1,6.05,9.45,11.05,4.2,10.55
5.3,2.4,22.8,6.4,7.85,13.2,9.55,12.8,24.45,10.3,22.95,5.35,9.85,8.02,10.7,27.99
11.1,5.55,10.95,7.3,26.25,17.5,20.7,22.95,7.45,7.85,7.05,13.45,8.2,18.5,21.13,9.98
6.4,11.95,10.8,17.1,12.6,21.2,40.6,12.2,13.75,19.35,10.6,14.3,5.85,18.29,10.93,11.8
4.65,13.15,19.05,23.5,4.75,4,12.85,22.6,7.35,10.85,5.65,10.85,7.8,9.98,6.25,3.23
4.25,5.7,13,24.45,10.7,11.85,11.1,6.65,11.3,27.55,7.05,15.6,5.75,3.88,10.78,19.16
7.7,10.95,17.4,20.75,9.55,12.05,8.9,7.6,8.5,7.8,11,6.4,9.5,17.39,22.26,12.45
4.55,13.25,10.2,10.3,3.6,15.8,9.45,11.45,8.2,9.65,1.95,8.75,11.75,6.43,6.66,10.74
9.1,8.8,28.75,17.75,20.35,15.25,13.5,17.95,18.3,17.35,4.45,6.35,15.6,12.67,20.18,21.76
9.65,7,8.7,22.55,33.55,18.8,11.1,14.15,18.8,12,11.2,3.9,8.55,12.22,11.03,12.25
4.3,8,11.75,13.75,12.8,19.2,6.95,10.15,11.5,11.2,11.5,9.35,17.15,9.18,10.66,11.48
8.25,17,31.9,23.4,21.85,17.95,15.45,3.7,11.65,9.75,2.9,15,16.8,11.68,11.1,6.52
6.9,11.65,20.35,15.75,10.35,19.45,20.35,3.6,9.05,10.3,7.1,7.25,8.65,24.4,20.3,6.29
5,13.7,21.45,17.4,11.35,19.65,14.1,11.3,12.9,25.45,9.2,10.65,21.9,7.75,10.71,11.92
10,10.3,23.65,10.5,9.55,25.95,18.95,6.35,28.2,17.4,9.35,15.85,10.5,11.44,11.29,6.99
5.35,9.2,17.5,10.4,9.3,19.75,20.2,14.3,7.45,28.5,5.25,19.45,9.9,7.62,8.87,6.28
6.65,7.5,15.65,14.45,14.75,24,32.85,6.8,12.1,5,16,22.4,11.45,10.5,6.39,6.33
7.55,9.4,24.65,9.1,14.05,18.95,,9.9,11.15,17.8,20.35,6.9,10.4,7.02,11.18,23.73
7,13.5,16.45,26.1,15.05,14.9,,11.2,16.8,21.65,13.75,10.4,9.25,8.03,11.85,21.29
6.1,7.45,33.8,13.85,19.25,11.5,,11.35,9.75,10,12.6,7.3,13.5,9.83,2.92,6.29
11.8,23.15,12.75,13.9,12.7,22.45,,7.55,23.1,28.2,10.05,12.35,7.15,4.02,5.34,24.96
8,8.2,15.85,8.15,10.9,15.65,,5.85,7.8,19.25,8.9,12.45,5.4,,6.29,6.87
4.05,8.5,7.55,13.2,8.4,21.4,,20.95,8.8,6.7,10.15,11.3,10.35,,20.44,11.78
4.7,16,22.85,16.6,4.3,9.45,,13.8,10.6,6.8,11.6,13.2,15.65,,5.52,22
