,Rb,Sr,Ba,Sc,Y,La,Ce,Pr,Nd,Sm,Gd,Dy,Er,Yb,Th,U,Zr,Hf,V,Nb,Cr,Co,Ni,Cu,Zn,Ga,Pb
N1,43.7,84.4,253.0,10.0,16.6,12.2,21.0,2.9,11.0,2.3,2.3,2.7,1.6,1.7,3.5,1.0,257.9,6.1,77.0,5.2,136.8,7.8,7.8,8.8,14.0,6.7,2.8
N2,48.3,90.2,280.0,7.0,13.7,12.4,20.5,2.8,11.5,2.3,2.2,2.3,1.4,1.4,2.7,0.8,117.8,3.1,67.0,4.2,88.9,6.6,11.3,11.2,18.0,5.8,3.5
N3,45.0,98.0,287.0,13.0,21.2,15.0,27.7,3.7,14.3,3.0,3.0,3.5,2.2,2.3,3.2,1.0,232.6,6.3,118.0,6.6,164.2,10.9,16.6,17.0,27.0,7.0,5.1
N4,51.2,75.5,317.0,3.0,7.5,8.7,14.0,1.9,7.8,1.7,1.4,1.3,0.8,0.7,2.8,0.4,72.2,1.9,27.0,2.3,13.7,2.4,7.6,5.2,10.0,3.6,2.9
N5,47.8,87.2,352.0,3.0,8.1,8.5,14.7,1.9,6.9,1.4,1.3,1.4,0.8,0.9,2.0,0.5,130.0,3.4,32.0,4.2,27.4,2.5,6.1,3.9,8.0,7.2,3.1
N6,64.3,94.6,326.0,6.0,12.6,12.6,22.0,2.8,11.3,2.2,2.3,2.3,1.3,1.3,3.0,0.8,117.2,3.2,53.0,4.6,68.4,4.5,10.6,8.8,21.0,8.6,4.6
N7,55.8,80.2,294.0,6.0,11.1,12.1,20.8,2.7,10.6,2.1,2.1,2.1,1.2,1.1,2.4,0.6,115.5,3.1,65.0,3.7,61.6,5.2,9.4,10.2,16.0,7.1,3.5
N8,36.3,100.6,221.0,26.0,59.9,24.7,53.3,6.5,24.9,5.6,6.7,9.5,6.8,7.8,15.1,4.8,2429.4,61.7,538.0,33.0,478.9,21.5,28.1,24.1,82.0,12.4,8.3
N9,65.6,93.3,336.0,11.0,31.6,16.8,31.4,4.1,15.6,3.3,3.8,4.9,3.7,4.1,8.4,2.5,1410.2,35.1,224.0,15.2,191.6,8.5,13.1,12.4,37.0,8.9,5.6
N10,82.6,105.8,405.0,8.0,17.1,14.2,26.1,3.0,11.8,2.5,2.4,2.9,1.8,1.9,6.5,1.1,315.1,8.0,86.0,7.6,130.0,5.2,8.1,6.7,15.0,6.8,4.3
N11,54.3,91.8,314.0,11.0,17.5,13.4,23.1,2.8,11.4,2.2,2.4,3.0,1.8,1.9,3.8,0.9,237.0,6.1,96.0,6.0,157.4,7.5,11.8,10.5,20.0,5.7,5.0
N12,57.5,193.4,332.0,13.0,14.4,13.2,23.1,3.1,12.4,2.6,2.5,2.5,1.5,1.4,3.8,0.8,203.5,5.7,95.0,5.8,157.4,10.8,7.6,9.6,13.0,8.0,3.0
T8,58.0,83.9,300.0,5.0,11.2,10.6,18.1,2.3,8.7,1.7,1.7,1.8,1.1,1.0,3.1,0.7,102.3,2.7,40.0,3.8,54.7,5.0,5.7,6.4,10.0,6.2,2.9
T13,44.9,124.4,274.0,8.0,11.5,11.5,22.2,2.8,10.5,2.0,2.0,2.3,1.1,1.1,3.4,0.9,161.7,4.2,60.0,4.3,116.3,6.6,6.6,6.2,11.0,6.6,2.5
N13,54.7,94.6,324.0,9.0,18.3,17.0,35.6,4.3,15.7,3.4,3.2,3.0,2.1,1.7,5.3,1.5,171.6,4.8,85.0,8.3,88.9,7.2,9.2,11.2,28.0,6.9,6.8
N14,81.0,144.5,480.0,14.0,19.9,16.9,35.8,4.6,16.9,3.6,3.5,3.5,2.1,2.0,5.7,1.0,103.1,3.2,99.0,8.0,136.8,14.2,13.1,17.9,40.0,10.0,6.9
